Generation,evals,avg,std,min,max,best_one,fitness_best_one
50,334,[  7.         414.83820698],[0.         0.50841908],[  7.         412.47393797],[  7.        414.9523997],"[19, 16, 14, 11, 10, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 9, 8, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 412.473937966674)"
51,342,[  7.         414.71781811],[0.         0.70949862],[  7.         412.47393797],[  7.        414.9523997],"[19, 16, 14, 11, 10, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 9, 8, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 412.473937966674)"
52,338,[  7.         414.44354966],[0.         0.97843689],[  7.         411.70286163],[  7.        414.9523997],"[19, 16, 14, 11, 10, 21, 22, 23, 25, 24, 20, 7, 4, 2, 1, 9, 8, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 411.7028616306136)"
53,340,[  7.         413.84313971],[0.         1.19218854],[  7.         411.70286163],[  7.        414.9523997],"[19, 16, 14, 11, 10, 21, 22, 23, 25, 24, 20, 7, 4, 2, 1, 9, 8, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 411.7028616306136)"
54,330,[  7.         412.76204792],[0.         0.67883009],[  7.         411.70286163],[  7.        414.9523997],"[19, 16, 14, 11, 10, 21, 22, 23, 25, 24, 20, 7, 4, 2, 1, 9, 8, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 411.7028616306136)"
55,334,[  7.         412.43596458],[0.         0.14689223],[  7.         411.70286163],[  7.         412.47393797],"[19, 16, 14, 11, 10, 21, 22, 23, 25, 24, 20, 7, 4, 2, 1, 9, 8, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 411.7028616306136)"
56,330,[  7.         412.36946585],[0.         0.25270701],[  7.       410.484957],[  7.         412.47393797],"[19, 16, 14, 11, 10, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 410.484957000707)"
57,326,[  7.        412.2455106],[0.         0.32528957],[  7.       410.484957],[  7.         412.47393797],"[19, 16, 14, 11, 10, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 410.484957000707)"
58,338,[  7.         411.99745818],[0.         0.35150983],[  7.       410.484957],[  7.         412.47393797],"[19, 16, 14, 11, 10, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 410.484957000707)"
59,344,[  7.         411.71774724],[0.         0.28195978],[  7.       410.484957],[  7.         412.12473576],"[19, 16, 14, 11, 10, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 410.484957000707)"
60,354,[  7.        411.5566488],[0.         0.26093654],[  7.       410.484957],[  7.         411.70286163],"[19, 16, 14, 11, 10, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 410.484957000707)"
61,336,[  7.         411.38825859],[0.         0.33848391],[  7.         409.71388066],[  7.         411.70286163],"[19, 16, 14, 11, 10, 21, 22, 23, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 409.71388066464664)"
62,340,[  7.         411.13918356],[0.         0.38165475],[  7.         407.07323672],[  7.         411.29285903],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 9, 8, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 407.0732367208859)"
63,364,[  7.         410.94301333],[0.         0.60862492],[  7.         407.07323672],[  7.         411.29285903],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 9, 8, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 407.0732367208859)"
64,350,[  7.        410.5713207],[0.         0.75273269],[  7.         407.07323672],[  7.         411.29285903],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 9, 8, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 407.0732367208859)"
65,330,[  7.         410.15848827],[0.         0.86188782],[  7.         407.07323672],[  7.       410.484957],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 9, 8, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 407.0732367208859)"
66,342,[  7.        409.7587438],[0.         1.17421927],[  7.         407.07323672],[  7.       410.484957],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 9, 8, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 407.0732367208859)"
67,352,[  7.         408.94782126],[0.         1.32257145],[  7.         407.07323672],[  7.       410.484957],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 9, 8, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 407.0732367208859)"
68,328,[  7.         407.82097449],[0.         1.09381239],[  7.         405.08425575],[  7.         409.71388066],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
69,328,[  7.         407.06826427],[0.         0.09932466],[  7.         405.08425575],[  7.         407.07323672],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
70,352,[  7.         407.05831936],[0.         0.17160365],[  7.         405.08425575],[  7.         407.07323672],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
71,336,[  7.         407.04340201],[0.         0.24176552],[  7.         405.08425575],[  7.         407.07323672],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
72,332,[  7.         407.01356729],[0.         0.33929474],[  7.         405.08425575],[  7.         407.07323672],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
73,350,[  7.         406.93400805],[0.         0.50748256],[  7.         405.08425575],[  7.         407.07323672],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
