Generation,evals,avg,std,min,max,best_one,fitness_best_one
190,350,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
191,354,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
192,344,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
193,352,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
194,354,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
195,330,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
196,340,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
197,340,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
198,340,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
199,340,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
200,322,[  7.         405.08425575],[0.00000000e+00 3.41060513e-13],[  7.         405.08425575],[  7.         405.08425575],"[19, 16, 14, 11, 10, 23, 22, 21, 25, 24, 20, 7, 4, 2, 1, 8, 9, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 405.08425575491896)"
